no,word,phonetic,pos,meaning
1,ball,/bɔːl/,n.,球
2,badminton,/ˈbædmɪntən/,n.,羽毛球运动
3,baseball,/ˈbeɪsbɔːl/,n.,棒球（运动）
4,basketball,/ˈbɑːskɪtbɔːl/,n.,篮球（运动）
5,bat,/bæt/,n.,球棒；球拍
6,bicycle,/ˈbaɪsɪkl/,n.,自行车
7,bike,/baɪk/,n.,自行车
8,catch,/kætʃ/,v.,抓住；接住
9,climb,/klaɪm/,v.,爬；攀登
10,competition,/ˌkɒmpəˈtɪʃn/,n.,比赛
11,cricket,/ˈkrɪkɪt/,n.,板球（运动）
12,cycling,/ˈsaɪklɪŋ/,n.,骑自行车运动（或活动）
13,enter a competition,,,参加比赛
14,fishing,/ˈfɪʃɪŋ/,n.,钓鱼
15,football,/ˈfʊtbɔːl/,n.,足球（运动）
16,game,/geɪm/,n.,游戏；比赛
17,goal,/gəʊl/,n.,球门；进球得分
18,golf,/gɒlf/,n.,高尔夫球（运动）
19,hockey,/ˈhɒki/,n.,曲棍球（运动）
20,luck,/lʌk/,n.,运气
21,play,/pleɪ/,v.,玩耍；游戏
22,player,/ˈpleɪə(r)/,n.,运动员
23,pool,/puːl/,n.,水塘，水池
24,prize,/praɪz/,n.,奖品
25,race,/reɪs/,n./v.,赛跑；参加竞赛
26,racket,/ˈrækɪt/,n.,球拍
27,rest,/rest/,n.&v.,休息
28,riding,/ˈraɪdɪŋ/,n.,骑马，骑术
29,rugby,/ˈrʌgbi/,n.,英式橄榄球（运动）
30,run,/rʌn/,v.,跑
31,sailing,/ˈseɪlɪŋ/,n.,帆船运动
32,skate,/skeɪt/,v.,滑冰
33,skateboard,/ˈskeɪtbɔːd/,n.,滑板
34,ski,/skiː/,v.,滑雪
35,skiing,/ˈskiːɪŋ/,n.,滑雪（运动）
36,snowboard,/ˈsnəʊbɔːd/,n.,滑雪板
37,snowboarding,/ˈsnəʊbɔːdɪŋ/,n.,滑雪板运动
38,soccer,/ˈsɒkə(r)/,n.,足球
39,sport(s),/spɔːt//spɔːts/,n.,体育运动
40,stadium,/ˈsteɪdiəm/,n.,体育场
41,surf,/sɜːf/,v.,冲浪
42,surfboard,/ˈsɜːfbɔːd/,n.,冲浪板
43,surfboarding,/ˈsɜːfbɔːdɪŋ/,n.,冲浪运动
44,swim,/swɪm/,v.,游泳
45,swimming,/ˈswɪmɪŋ/,n.,游泳
46,table tennis,,,乒乓球运动
47,team,/tiːm/,n.,（游戏或运动的）队，小组
48,tennis,/ˈtenɪs/,n.,网球
49,throw,/θrəʊ/,v.,投掷
50,ticket,/ˈtɪkɪt/,n.,票
51,v/versus,/viː//ˈvɜːsəs/,prep.,对抗；与……相对
52,volleyball,/ˈvɒlibɔːl/,n.,排球
53,walk,/wɔːk/,v.,走
54,win,/wɪn/,v.,获胜，赢
55,windsurfing,/ˈwɪndsɜːfɪŋ/,n.,帆板运动
56,winner,/ˈwɪnə(r)/,n.,获胜者
